a1,a2,a3
749670.8079060848,0.0,0.0
429534.612268894,0.0,350989.89339896606
0.0,0.0,0.0
0.0,0.0,485545.0989128489
0.0,0.0,583777.593996287
0.0,0.0,0.0
634910.7358484502,0.0,0.0
2857.824454587411,0.0,614202.4949548547
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
358270.76905229426,277743.7678842283,0.0
0.0,393449.7278673085,306717.1889060014
386430.6844473106,216417.7782945111,0.0
698435.6631856486,0.0,0.0
0.0,603436.4437336004,0.0
663867.3780558534,0.0,0.0
592816.2664446428,0.0,0.0
0.0,542590.4689261907,0.0
0.0,0.0,0.0
0.0,0.0,0.0
443560.28639575845,39812.17819745582,254925.39578896778
690390.1700476011,44749.299290972034,0.0
85914.79377263041,506312.90010371257,0.0
0.0,554825.2820743416,0.0
0.0,46839.035716113445,539733.554123765
2754.756140376394,0.0,404667.6524270448
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,462363.44050229463
0.0,531989.7087895538,0.0
0.0,0.0,398827.9494440731
511333.12104901444,0.0,140534.77069106806
4511.500306720562,472979.29700430814,159927.00415463687
96747.94533465918,0.0,434432.6309828769
0.0,504863.41321421764,0.0
636048.1302137433,0.0,0.0
605822.4216796112,0.0,766.1310905379754
0.0,0.0,0.0
773.6955071862768,641004.0871135251,0.0
0.0,0.0,754934.9407770555
0.0,0.0,0.0
0.0,0.0,0.0
11225.953363404384,561049.7995096666,0.0
0.0,0.0,0.0
0.0,2406.2029257788818,647002.3023003294
0.0,0.0,467577.98191303207
0.0,0.0,558499.723883568
0.0,63239.61267933992,474628.47357668064
14881.212786491347,0.0,345305.77002493833
1840.5930728716305,24957.14095283494,678015.7811563755
0.0,0.0,550902.4219228835
0.0,156750.9080231889,402709.6705502184
0.0,558118.3727202656,0.0
602288.0489486879,0.0,0.0
682388.1327860601,0.0,0.0
0.0,0.0,493715.75959900423
443776.2800788961,136007.9958927795,0.0
0.0,24634.71085885439,579897.6498268507
0.0,674957.7568289379,0.0
0.0,0.0,481405.2096192247
0.0,0.0,531132.2267882949
0.0,0.0,805926.9445572527
0.0,0.0,926985.6126746476
0.0,0.0,785197.6070448144
602174.7271566951,0.0,18312.68597721723
0.0,520249.78730089765,0.0
0.0,0.0,779912.34079653
746402.1687185495,0.0,0.0
0.0,0.0,590342.110854096
0.0,0.0,1036538.0003106284
672305.1463144363,0.0,0.0
0.0,515583.04794823023,0.0
0.0,557972.9549259512,0.0
77278.17252430743,0.0,714665.3259947405
1075.909226385087,563544.4683803205,0.0
397427.7530185005,0.0,265311.5118857547
15755.835543433146,6954.023858936447,374700.4463531582
0.0,92485.57534943758,722574.9868985404
0.0,526686.4731093992,0.0
0.0,1255.9124439005452,730885.9885931809
0.0,0.0,405013.75716183276
0.0,520431.958749218,72287.72133503447
391960.0028323561,7555.625575986056,193146.49171704354
56881.28921698509,551089.8915640913,0.0
653592.9285753209,0.0,0.0
534400.9463822625,68826.8915425844,0.0
72574.2424740863,0.0,1293315.3356199348
0.0,0.0,0.0
0.0,565924.6083654951,21028.56764068551
655850.1145846709,0.0,0.0
0.0,0.0,455965.4209024856
0.0,0.0,314082.09539383854
28781.363016264433,537724.015788801,0.0
0.0,0.0,0.0
0.0,14224.17395842434,563239.7542847324
0.0,532955.6723799763,21219.17598090797
0.0,342955.47976298357,245814.59368064936
37812.780243577385,0.0,417279.99800192355
0.0,105508.43167031945,401624.4569756089
111252.52472234599,219792.3416953907,239181.85728798914
0.0,0.0,0.0
0.0,265074.1421522547,332893.3576672427
0.0,0.0,1058888.6031019476
0.0,378768.09435107175,188352.03050163251
0.0,256750.89936705257,695942.8979341622
0.0,599009.6469637603,0.0
306923.054449161,303778.4678349832,0.0
0.0,585126.1695157484,3811.559330894116
0.0,0.0,774998.1209656124
0.0,0.0,594412.9544330635
0.0,0.0,524077.32213761244
680636.2650119826,0.0,0.0
636392.5278314007,0.0,0.0
0.0,135821.49733087642,297794.000401654
0.0,73233.2991567078,353424.8909275656
0.0,219478.9737089576,323000.9699763368
0.0,0.0,430395.152286694
0.0,567990.6418260894,0.0
22626.761643579757,544365.6024984304,0.0
0.0,244.81214968224737,454945.9604752188
0.0,0.0,899434.3185768174
646996.6891706013,0.0,0.0
610571.4408637814,60625.748857856466,0.0
0.0,0.0,600272.7941777584
0.0,0.0,592432.6635178585
95092.46416717654,500583.42627318983,0.0
307258.015198108,291971.0650302593,0.0
23129.185353032313,184439.75033462525,349006.6469223438
0.0,0.0,0.0
335122.4640753816,0.0,338885.17791187996
0.0,0.0,831806.8831030247
0.0,0.0,685693.5904672231
0.0,0.0,0.0
17321.68925145185,0.0,653894.9932602671
607909.9439988422,0.0,0.0
654363.3398486386,0.0,0.0
206385.92162793543,75848.77850847687,595299.9803450431
0.0,569105.0401427979,0.0
689525.6711187921,0.0,0.0
39101.43666812008,55452.97328342892,941449.7479908576
649305.0857867819,0.0,0.0
0.0,0.0,0.0
0.0,600336.2237094508,0.0
0.0,0.0,511174.46914071206
0.0,0.0,673802.4146224125
0.0,0.0,0.0
54836.903784266,0.0,522966.97867082653
0.0,16115.175827757923,479855.1110530123
0.0,0.0,0.0
0.0,0.0,0.0
0.0,587642.5666031314,0.0
112641.53249584683,0.0,717198.8887714768
0.0,0.0,628114.7551316997
540490.8557058339,0.0,129161.11944111406
0.0,0.0,0.0
601437.3451734637,82265.33394358921,0.0
324.6559120803432,0.0,1003778.9731201177
0.0,0.0,385075.6616275254
0.0,533679.6255712782,76132.00835871183
0.0,0.0,1222249.4776576932
0.0,0.0,487633.92189519724
0.0,0.0,0.0
0.0,0.0,603254.4898318602
0.0,0.0,561383.3340550094
0.0,524420.8384686772,0.0
0.0,0.0,764496.0164034517
0.0,0.0,0.0
0.0,0.0,411987.5172396875
351217.7344461589,221822.06367183867,0.0
0.0,540987.1925813563,0.0
0.0,627308.5918415759,0.0
0.0,0.0,930125.4332158194
0.0,0.0,0.0
0.0,398866.1929647669,240375.05592017624
0.0,0.0,495011.07955689554
0.0,0.0,385096.41148410796
2776.6982801810623,0.0,498902.06119583646
413328.24316499196,201847.3204255072,0.0
470565.12615247467,0.0,273755.0675226398
721.5721028073796,516151.8117386785,83998.87469845824
0.0,445987.6352850013,98620.02659286151
0.0,636952.933244624,0.0
674690.5780462807,0.0,0.0
0.0,0.0,345906.2237730384
0.0,564521.512572882,0.0
604298.9987468316,0.0,0.0
0.0,0.0,236151.7439688869
246075.36277060438,345318.61647319846,0.0
10638.245709294586,574666.1474617635,0.0
7260.843463019819,534816.2710244906,79380.65776821384
0.0,0.0,659108.5594464863
0.0,584274.2169989516,0.0
0.0,0.0,0.0
0.0,0.0,787789.3798436282
8.270378896497242,109715.84307129901,718300.471770628
0.0,0.0,824198.6746122743
0.0,621401.6395370007,0.0
0.0,0.0,487077.2113680098
0.0,556258.0531728758,0.0
6504.815421657068,0.0,249984.21617373027
0.0,638579.1060738391,0.0
0.0,0.0,1053173.901664441
0.0,553747.0945641433,0.0
25847.47039167736,12311.207883142564,460980.64557482366
9531.46450950746,493887.747135047,117829.38592210204
0.0,0.0,0.0
652665.5574970208,54860.681048023216,0.0
0.0,269690.7925680993,350149.5653690941
0.0,0.0,474156.6494322539
650821.8007823521,0.0,0.0
0.0,0.0,1060636.1031125889
0.0,0.0,0.0
23557.856868102357,14798.856274459173,721937.7306101406
0.0,181111.31808638596,266688.6815869705
0.0,0.0,426291.7934299962
698252.688003458,0.0,0.0
18199.447517654335,0.0,456938.5858199337
0.0,0.0,582147.8984807909
0.0,0.0,0.0
0.0,553447.641301334,60530.27085142471
0.0,78405.98360842392,853044.7779076141
0.0,0.0,1186328.345320644
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,531014.062735292,0.0
0.0,482447.9330630175,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,272553.3747726299,390879.77016771864
0.0,520137.4805533597,0.0
629248.9923577753,0.0,0.0
6962.1053618219885,579218.5223136436,0.0
0.0,530749.797310318,0.0
0.0,555769.1415294275,0.0
0.0,19.963097861543762,423115.3453577172
663342.8154194464,0.0,0.0
633870.3288254007,0.0,0.0
1706.1662086741474,567973.3410843032,11429.576200393414
0.0,574713.5841628854,0.0
0.0,643395.3281445913,4408.253526793904
1665.7767292913413,533663.7914329312,0.0
109780.50602583494,0.0,768891.0238625687
0.0,0.0,1006938.1145525237
70814.29657139459,0.0,1016272.610139717
405699.2425577045,0.0,189685.1395330425
0.0,577285.4541126959,0.0
0.0,592430.6589935246,0.0
0.0,0.0,0.0
586235.9949259608,0.0,0.0
0.0,0.0,0.0
224483.39397906532,439636.3129876825,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
253102.5254812365,8077.980909066566,353361.36962441733
0.0,509722.9735631289,350.2309157070907
0.0,646910.6809158113,0.0
738868.1942653329,0.0,0.0
0.0,0.0,526249.8473290987
0.0,0.0,662185.7630956845
687526.8279021608,0.0,0.0
706523.7347971966,0.0,0.0
0.0,627754.5867397416,0.0
0.0,556861.0331527469,0.0
0.0,94517.55947397064,695467.0079604917
0.0,32731.35183477459,682009.5949895928
643531.7718032162,0.0,0.0
0.0,638902.6600186602,0.0
0.0,0.0,0.0
0.0,0.0,0.0
653192.5015375548,619.3361741733518,0.0
659205.784602082,0.0,0.0
0.0,0.0,0.0
458336.65885512,149431.90555135207,0.0
82354.16474374157,489696.2129905908,3702.74448138592
0.0,555251.9250196149,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,562316.2660336121,0.0
0.0,0.0,0.0
0.0,29138.104228502325,560745.8665434801
41906.22712226985,0.0,677935.2492120208
0.0,0.0,683241.5314364035
0.0,0.0,0.0
0.0,591727.8318417855,38622.007271280774
16.865995515968947,0.0,440855.86199225136
0.0,0.0,936191.3607310881
0.0,0.0,865638.2606188123
0.0,0.0,552840.3606741817
202822.24845308386,23011.71197256626,393237.2574803938
0.0,0.0,0.0
0.0,0.0,0.0
0.0,561483.1850487827,0.0
628563.6687916567,0.0,0.0
418434.8711105286,0.0,503246.09777978447
370306.3126197352,7857.874962846299,368916.4994013037
0.0,0.0,791464.9664948775
0.0,0.0,0.0
673911.5989504141,0.0,0.0
0.0,465103.5060346619,114150.53436624464
0.0,588264.2133781874,0.0
0.0,586967.0129437617,0.0
0.0,0.0,0.0
0.0,0.0,532017.1202538513
0.0,0.0,1025356.5947293112
0.0,590620.0148849207,0.0
3535.4644506850814,525893.04440242,46951.27735227391
0.0,0.0,0.0
588470.4892810786,0.0,0.0
0.0,0.0,0.0
441598.6905647461,0.0,291725.27588199294
679777.9682675296,0.0,0.0
383675.5655584408,0.0,342983.1189149821
0.0,0.0,0.0
0.0,0.0,751206.4799683623
632927.3903852715,0.0,0.0
0.0,0.0,0.0
180289.23368257546,0.0,543535.7511729869
706267.7341462258,0.0,0.0
0.0,0.0,1019945.3068172984
0.0,0.0,0.0
0.0,388631.6968077784,215831.91832538787
632250.6250579534,0.0,0.0
400.957207373721,7411.308592675961,523745.3304398148
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,112163.80701077948,691783.2641080556
0.0,2423.6836380570026,451236.9793220961
6881.898557772517,539759.5400628754,0.0
0.0,0.0,450816.2288182869
0.0,433685.2305350438,84797.89905660246
0.0,0.0,0.0
37271.16182466962,356488.42565836373,108479.49673674944
0.0,70767.43457273406,573709.1538129344
12645.80528190759,1661.8526481040753,949811.5975990732
2218.2884659604492,350428.42030404176,189903.92816548585
0.0,0.0,0.0
0.0,535464.8279343502,1590.5791701867868
0.0,0.0,579351.4766755565
560327.2920541782,48375.080216025366,0.0
129424.42140730139,0.0,425035.32813753816
0.0,586730.2681219939,0.0
20660.830350559612,513969.22655897634,39162.15719490142
0.0,0.0,688055.0967639639
0.0,101967.11673712744,300145.8533778386
69621.79583746653,0.0,756649.3447894504
0.0,0.0,0.0
408656.12421612197,0.0,144403.7545778342
666736.4194286109,0.0,0.0
0.0,611669.5738932618,0.0
0.0,0.0,372028.4107343449
6650.183212442036,538.3183986523586,592792.7024440252
7369.038412784037,209556.68588715995,397669.2938980353
0.0,0.0,0.0
0.0,0.0,0.0
42561.74201444407,0.0,630552.7528752156
0.0,504489.5241157249,0.0
0.0,0.0,713810.7482795845
18711.798004445776,0.0,213939.24571579893
0.0,577001.9861542309,0.0
0.0,633248.0762932495,0.0
0.0,592814.2987157769,0.0
0.0,0.0,930416.8760758917
108124.83423731542,503920.12796159455,0.0
0.0,0.0,0.0
608754.0369389926,61303.90822079042,0.0
0.0,0.0,957378.8113286404
0.0,0.0,0.0
0.0,0.0,701065.3976145057
0.0,535121.408461432,0.0
732568.8629564132,0.0,0.0
0.0,0.0,0.0
0.0,0.0,917095.1390241211
672232.3088019281,0.0,0.0
438339.80209201877,164493.49260135254,0.0
0.0,0.0,661253.1501729027
9412.00032942441,0.0,816712.8738300808
227009.92422994235,22147.38863234841,228706.95302048983
0.0,46284.98676998776,344301.619615845
0.0,0.0,718512.9769620753
315519.399677583,322664.430673055,0.0
0.0,0.0,0.0
